City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
277,Acajutla,SV,2022-01-30 00:22:09,13.5928,-89.8275,80.8,69,41,3.42
278,Charters Towers,AU,2022-01-30 00:19:14,-20.1,146.2667,81.41,58,2,9.95
279,Bilma,NE,2022-01-30 00:21:07,18.6853,12.9164,57.54,20,2,13.33
280,Grindavik,IS,2022-01-30 00:21:42,63.8424,-22.4338,36.07,69,75,13.8
281,Xining,CN,2022-01-30 00:22:12,36.6167,101.7667,8.47,66,10,2.37
282,Galle,LK,2022-01-30 00:22:12,6.0367,80.217,77.34,80,82,4.65
283,Karratha,AU,2022-01-30 00:19:51,-20.7377,116.8463,82.11,59,90,15.64
284,Northam,GB,2022-01-30 00:22:14,51.0333,-4.2167,45.61,82,82,7.63
285,Pozega,HR,2022-01-30 00:22:14,45.3403,17.6853,38.77,64,94,3.71
286,Matara,LK,2022-01-30 00:22:15,5.9485,80.5353,75.63,86,79,5.53
287,Rebrikha,RU,2022-01-30 00:22:16,53.0733,82.3408,-5.42,93,53,6.31
288,Bajil,YE,2022-01-30 00:22:17,15.0584,43.2851,74.88,81,25,3.53
289,Villamontes,BO,2022-01-30 00:22:18,-21.25,-63.5,72.52,56,2,1.12
290,Bubaque,GW,2022-01-30 00:22:18,11.2833,-15.8333,78.98,69,93,16.69
291,Tierra Blanca,HN,2022-01-30 00:22:19,14.5833,-88.5833,68.02,99,99,5.79
292,Sorong,ID,2022-01-30 00:22:20,-0.8833,131.25,82.47,77,98,8.03
293,Sahuaripa,MX,2022-01-30 00:22:20,29.05,-109.2333,73.87,28,1,3.91
